city_name,country_code,region,population,upd_date,lat,lon
Coventry,GB,Europe/London,359262,2021-08-08,52.406559,-1.51217
Colchester,GB,Europe/London,121859,2017-06-12,51.88921,.90420997
Chesterfield,GB,Europe/London,113057,2017-06-12,53.25,-1.41667
Cheltenham,GB,Europe/London,116447,2017-06-12,51.900059,-2.07972
Chelmsford,GB,Europe/London,111511,2017-06-12,51.735748,.46957999
Cardiff,GB,Europe/London,447287,2019-09-05,51.48,-3.1800001
Cambridge,GB,Europe/London,158434,2019-09-05,52.200001,.11667
Burton upon Trent,GB,Europe/London,122199,2018-07-03,52.807281,-1.64263
Burnley,GB,Europe/London,149422,2017-06-12,53.799999,-2.23333
Bristol,GB,Europe/London,617280,2019-09-05,51.455231,-2.5966499
Brighton,GB,Europe/London,139001,2019-09-05,50.828381,-.13947
Brent,GB,Europe/London,329100,2019-07-03,51.553059,-.30230001
Bradford,GB,Europe/London,299310,2019-09-05,53.793911,-1.7520601
Bournemouth,GB,Europe/London,163600,2021-08-04,50.720482,-1.8795
Bolton,GB,Europe/London,141331,2010-10-16,53.583328,-2.4333301
Blackpool,GB,Europe/London,239409,2018-03-12,53.816669,-3.05
Blackburn,GB,Europe/London,146521,2017-06-12,53.75,-2.48333
Birmingham,GB,Europe/London,984333,2021-07-25,52.481419,-1.89983
Birkenhead,GB,Europe/London,325264,2017-06-12,53.393372,-3.0147901
Bexley,GB,Europe/London,228000,2012-06-01,51.44162,.14866
Belfast,GB,Europe/London,274770,2020-10-24,54.596821,-5.9254098
Bedford,GB,Europe/London,106940,2017-06-12,52.13459,-.46632001
Basingstoke,GB,Europe/London,107642,2017-06-12,51.262489,-1.08708
Basildon,GB,Europe/London,144859,2021-08-04,51.568439,.45782
Aberdeen,GB,Europe/London,196670,2021-07-30,57.143688,-2.09814
Telford,GB,Europe/London,147980,2019-09-05,52.67659,-2.44926
Becontree,GB,Europe/London,100000,2010-05-25,51.552898,.12899999
Mendip,GB,Europe/London,110000,2018-07-03,51.237202,-2.6266
Archway,GB,Europe/London,215667,2017-11-29,51.567329,-.13415
Tbilisi,GE,Asia/Tbilisi,1049498,2019-12-03,41.694111,44.833679
Kutaisi,GE,Asia/Tbilisi,178338,2014-11-02,42.26791,42.694592
Batumi,GE,Asia/Tbilisi,121806,2019-02-26,41.642281,41.633919
Teshi Old Town,GH,Africa/Accra,144013,2019-12-05,5.5836501,-.10722
Tema,GH,Africa/Accra,155782,2019-12-05,5.6697998,-.01657
Tamale,GH,Africa/Accra,360579,2019-12-06,9.4007902,-.83929998
